�б�ǩ,������:tag
Oscar (Best Directing),497
Kung Fu,495
blood,495
steampunk,493
time loop,492
british comedy,492
rock and roll,491
excellent script,489
wedding,487
George Clooney,487
unrealistic,486
mythology,485
melancholy,482
Nicolas Cage,477
genius,475
19th century,473
twists & turns,472
Depression,471
movie to see,470
1960s,470
Infidelity,469
cars,469
Based on a TV show,469
vietnam war,468
erotic,467
cgi,466
space opera,464
Alfred Hitchcock,464
Spaghetti Western,463
period piece,463
India,463
dark hero,462
storytelling,461
pirates,461
anti-hero,461
stylish,460
holocaust,460
cold war,460
boxing,458
Australia,457
original plot,453
witch,452
good acting,451
London,450
crude humor,449
cannibalism,449
dysfunctional family,448
owned,446
business,446
intellectual,445
unique,444
silent film,444
National Film Registry,443
amnesia,443
duringcreditsstinger,442
plot,441
dog,437
Woody Allen,435
Interesting,435
beautiful scenery,433
cynical,432
samurai,430
queer,430
suspenseful,429
nudity,429
pregnancy,429
haunted house,429
Hitman,428
noir thriller,427
USA,426
Robbery,425
isolation,425
surprise ending,423
Oscar Nominee: Best Picture,423
ending,423
enigmatic,420
China,420
dvd,419
treasure,417
paranoia,417
happy ending,417
found footage,417
based on a play,417
spoof,416
political,416
bleak,415
Mel Gibson,414
brutal,413
animated,412
Oscar (Best Actor),411
vigilante,410
Russell Crowe,410
Denzel Washington,409
russian,405
photography,403
based on a comic,403
desert,402
teacher,401
scifi,401
sentimental,400
space adventure,399
slow paced,397
Netflix,397
Shakespeare,396
gangsters,396
directorial debut,396
male nudity,395
escape,394
Wes Anderson,393
Dancing,392
scary,389
Jake Gyllenhaal,388
Anthony Hopkins,388
addiction,386
courtroom,385
Michael Caine,384
feel good movie,384
claustrophobic,383
sweet,382
prison escape,382
divorce,382
reviewed,381
3D,380
Philip Seymour Hoffman,378
library,378
incest,378
Hugh Jackman,377
Will Ferrell,376
Star Trek,375
Gary Oldman,375
Keira Knightley,374
artistic,374
redemption,373
Italy,372
revolution,370
Poverty,369
mexico,369
Quotable,368
loss of loved one,365
To See,364
childhood,363
Sean Connery,362
Stop motion,362
Adam Sandler,362
police corruption,360
Dinosaurs,359
Ryan Gosling,358
Nudity (Rear),358
Hollywood,358
Hotel,358
confusing,358
Medieval,357
good dialogue,357
school,356
classic sci-fi,356
cult,355
money,351
easily confused with other movie(s) (title),350
childish,349
Sandra Bullock,348
Joseph Gordon-Levitt,348
inspiring,348
Ewan McGregor,348
poignant,347
genetics,347
bollywood,347
conspiracy theory,346
hospital,345
In Netflix queue,344
bad plot,344
jealousy,343
dogs,343
disaster,343
nostalgic,342
Steve Carell,341
animals,341
Liam Neeson,340
Jude Law,340
Jennifer Lawrence,339
Emma Stone,339
food,339
dialogue driven,339
unpredictable,338
scenic,338
ridiculous,338
ghost,337
Baseball,337
Twist,336
father daughter relationship,336
disability,336
propaganda,335
Angelina Jolie,334
Oscar (Best Actress),333
Ben Affleck,333
Simon Pegg,331
notable soundtrack,331
family relationships,331
road movie,330
slapstick,329
russia,329
motorcycle,328
hackers,328
end of the world,328
script,327
based on comic,327
Uma Thurman,326
super-hero,326
Marvel Cinematic Universe,326
art,326
not funny,325
christian,325
train,324
adapted from:comic,324
Philip K. Dick,323
harry potter,322
child abuse,322
marijuana,321
alcoholism,321
wilderness,320
great dialogue,320
characters,320
Ridley Scott,319
jungle,319
computer animation,319
pretentious,318
disappointing,318
so bad it's good,317
party,316
feminist,316
smart,314
stranded,313
great performances,313
irreverent,313
gambling,313
fighting,312
london england,310
1950s,310
wizards,309
made for TV,309
Jodie Foster,309
Heath Ledger,308
environmental,308
middle east,307
meditative,306
Meryl Streep,306
ben stiller,305
Underrated,304
justice,304
chase,304
forest,303
ClearPlay,303
1930s,303
werewolf,302
prostitute,302
Nicole Kidman,302
mentor,301
Nazi,300
assassination,300
dragons,299
bad ending,299
Netflix Finland,298
Claymation,298
Bibliothek,298
bank robbery,297
teenagers,296
scientist,296
perrot library,296
lawyer,296
holiday,296
FBI,296
love triangle,295
bullying,295
dystopic future,294
Tragedy,293
treasure hunt,292
women,292
writer,292
memasa's movies,290
Cartoon,290
anti-war,290
melancholic,289
Monty Python,289
biopic,289
own,288
on dvr,288
friends,288
Can't remember,288
Woody Harrelson,287
Anne Hathaway,287
Germany,285
brutality,285
video games,284
virus,284
George Lucas,284
Doctor,284
visceral,283
robot,283
ocean,283
mine,283
mars,283
John Cusack,283
physics,281
civil war,281
dc comics,280
big budget,280
sci fi,279
good vs evil,279
Alan Rickman,279
prospect preferred,278
mad scientist,278
David Fincher,278
understated,277
Zooey Deschanel,277
spielberg,276
spies,276
immortality,276
Jason Statham,276
Texas,275
slavery,275
Seth Rogen,274
San Francisco,274
Charlize Theron,272
based on book,272
Scotland,271
MCU,271
entertaining,271
dark fantasy,270
androids,270
World War I,269
trains,269
New Zealand,269
biblical,269
rebellion,268
Psychological Thriller,268
David Lynch,268
werewolves,267
jazz,267
Sylvester Stallone,266
Screwball Comedy,266
submarine,266
siblings,265
Oscar (Best Supporting Actor),265
realism,265
experiment,264
dragon,264
Owen Wilson,263
aviation,263
Julia Roberts,262
japanese,262
German,262
Airplane,261
halloween,260
Dustin Hoffman,260
competition,260
television,259
football,259
Bob*ola,259
Akira Kurosawa,259
betrayal,258
Rome,257
goofy,257
Cate Blanchett,257
spain,256
Matthew McConaughey,256
deadpan,256
off-beat comedy,255
guns,255
Jack Black,254
Kate Winslet,254
Hugh Grant,254
Mark Wahlberg,253
Ireland,253
Ellen Page,252
WWII,251
travel,251
hostage,251
cancer,251
writers,250
great cinematography,250
Amy Adams,250
B movie,249
Schizophrenia,248
royalty,248
self discovery,248
courtroom drama,248
possession,247
demons,247
Terry Gilliam,246
psychopath,246
eerie,246
seen at the cinema,245
las vegas,245
California,245
psychedelic,243
Peter Jackson,243
arnold,241
tolkien,240
fight scenes,240
Christopher Walken,240
culture clash,240
7,240
video game adaptation,239
Highly quotable,239
complex characters,238
aftercreditsstinger,238
soldier,237
Jeff Bridges,237
jesus,237
over the top,236
heartbreaking,236
female director,236
fashion,236
Argentina,236
beach,234
female protagonist,233
dramatic,233
Tommy Lee Jones,232
undercover cop,232
Sigourney Weaver,232
NO_FA_GANES,232
Blackmail,232
bad script,232
guy ritchie,231
Jackie Chan,231
TV movie,229
John Malkovich,229
imaginative,229
wife husband relationship,228
paranoid,228
dream,228
itaege,227
Seduction,226
lawyers,225
Kevin Smith,225
internet,225
Emma Watson,225
good versus evil,225
Cameron Diaz,225
vietnam,224
soccer,224
Italian,224
daughter,224
Ryan Reynolds,223
south america,223
gang,223
foreign,223
demon,223
Rachel McAdams,222
experimental,222
surveillance,221
Colin Firth,221
Jennifer Aniston,220
character development,220
Guillermo del Toro,219
John Travolta,219
curse,219
anthology,219
autism,219
relationship,218
transgender,217
parallel universe,217
high fantasy,217
1920s,217
killer,216
archaeology,216
Brazil,216
buddy movie,215
Daniel Craig,215
hacking,214
fight,214
colorful,213
based on novel,213
Roman Polanski,212
Sam Rockwell,212
superheroes,212
Jane Austen,212
Complex,212
watch the credits,211
priest,211
action packed,211
based on play or musical,211
student,210
occult,210
Tarantino,209
dystopian,209
strange,208
sexual,207
Oscar Winner,207
meaning of life,207
blu-ray,207
beautiful cinematography,207
extramarital affair,206
adolescence,206
AFI 100,206
pointless,205
Milla Jovovich,205
journalist,205
Vin Diesel,204
Catholicism,204
audience intelligence underestimated,204
underdog,203
Latin America,203
artist,203
Berlin,203
biographical,203
basketball,203
summer,202
Sean Penn,202
Jean Reno,202
Ennio Morricone,202
alter ego,202
Tom Hardy,201
secrets,201
PG-13,201
private detective,201
lyrical,201
Femme Fatale,201
drinking,201
snow,200
m. night shyamalan,200
tension,199
hallucination,199
good soundtrack,199
freedom,198
creative,198
rescue,197
Paul Rudd,197
brothers,197
creature feature,197
AIDS,197
Sherlock Holmes,196
Kirsten Dunst,196
Gwyneth Paltrow,196
gunfight,196
drug abuse,196
bloody,196
ballet,196
btaege,195
ominous,194
nostalgia,194
Charlie Kaufman,194
casino,194
pornography,193
NASA,193
first contact,193
blindness,193
boarding school,193
not a movie,192
mother-son relationship,192
exploitation,192
classical music,192
chicago,192
con artists,192
theater,191
South Africa,191
seen,191
Steve Buscemi,191
greed,191
disease,191
devil,191
black humor,191
1940s,191
sexy,190
orphan,190
grim,190
homophobia,190
voyeurism,189
sheriff,189
Oscar (Best Supporting Actress),189
afterlife,189
unlikeable characters,188
twins,188
USSR,188
Secret,188
Lars Von Trier,188
Broadway,188
actors,188
unlikely friendships,187
splatter,187
morality,187
Julianne Moore,187
flashback,187
shark,186
suicide attempt,185
reporter,185
Oscar (Best Effects - Visual Effects),185
Mark Ruffalo,185
army,185
Body Horror,185
80s,185
antihero,185
warner,184
monsters,184
helena bonham carter,184
indie,184
youth,183
Dreamworks,183
Gene Hackman,183
cross dressing,183
blaxploitation,183
18th century,183
sniper,182
Colin Farrell,182
Willem Dafoe,181
noir,181
Kids,181
cooking,181
uplifting,180
paranormal,180
Israel,180
criminal,180
rivalry,179
mistaken identity,179
Michael Cera,179
Finnish,179
aging,179
Bible,179
time-travel,178
psychothriller,178
joaquin phoenix,178
inventor,178
foul language,178
charming,178
Australian,178
Iron Man,177
Korea,177
farce,177
circus,177
Winona Ryder,176
restaurant,176
not available from Netflix,176
native american,176
Mila Kunis,176
Kevin Costner,176
James Cameron,176
egypt,176
abuse,176
prisoner,175
BDSM,175
tivo,174
sexualized violence,174
singer,174
nightmare,174
suburbia,173
poker,173
korean,173
Ethan Hawke,173
cloning,173
better than expected,173
weak plot,172
shootout,172
talky,172
moon,172
cyborgs,172
awesome,172
adoption,172
adapted from:play,172
teenage girl,171
natural disaster,171
must see,171
heroin,171
grief,171
Jonah Hill,171
girlie movie,171
communism,171
cast,171
modern fantasy,170
moving,170
identity,170
hong kong,170
immigrants,170
gangs,170
Emily Blunt,170
epic adventure,170
cat,170
alcoholic,170
baby,170
visual,169
vengeance,169
Humour,169
complicated plot,169
village,168
racing,168
Hans Zimmer,168
Kaiju,168
bad dialogue,168
Michael Fassbender,167
indiana jones,167
deliberate,167
Boston,167
stalker,166
Michael Douglas,166
Greek mythology,166
jewish,166
faith,166
want,165
Spanish,165
shaky camera,165
remade,165
john goodman,165
education,165
giant monster,165
nurse,164
magical realism,164
dumb,164
Watched,163
vacation,163
Viggo Mortensen,163
Eric's Dvds,163
Funny as hell,163
alcohol,163
writing,162
thief,162
sexual assault,162
poetry,162
product placement,162
Meg Ryan,162
hope,162
Kate Beckinsale,162
colonialism,162
Amazing Cinematography,162
sexual abuse,161
nerds,161
midlife crisis,161
feel good,161
Camp,161
Clive Owen,161
Canada,161
AI,161
Bizarre,161
Zach Galifianakis,160
visual effects,160
supernatural powers,160
Period Drama,160
Reese Witherspoon,160
multiple roles,160
menacing,160
James Franco,160
Iran,160
fast paced,160
Benedict Cumberbatch,160
witchcraft,159
want to see again,159
hero,159
colourful,159
capitalism,159
best friend,159
1990s,159
singing,158
princess,158
New Orleans,158
gruesome,158
epidemic,158
funeral,158
flashbacks,158
asylum,158
Annemari,158
Below R,158
rural setting,157
space action,157
memory loss,157
honest,157
dull,157
transformation,156
widow,156
video game,156
sacrifice,156
Ralph Fiennes,156
joss whedon,156
atmosphere,156
Bradley Cooper,156
university,155
stereotypes,155
ninja,155
horse,155
Eddie Murphy,155
god,155
spaceship,154
strippers,154
super hero,154
short-term memory loss,154
manipulation,154
non-linear,154
erotic movie,154
Afghanistan,154
Audrey Hepburn,154
thoughtful,153
Naomi Watts,153
unsimulated sex,152
single mother,152
Patrick Stewart,152
photographer,152
realistic action,152
deception,152
alternate history,152
nuclear war,151
etaege,151
Florida,151
airport,151
spying,150
Sergio Leone,150
Fascism,150
character study,150
chris evans,150
Vincent Price,149
VHS,149
Orson Welles,149
madness,149
library vhs,149
Jared Leto,149
Kurt Russell,149
Futuristmovies.com,149
exciting,149
breaking the fourth wall,149
swedish,148
Orlando Bloom,148
nightclub,148
historically inaccurate,148
great cast,148
double life,148
Christoph Waltz,148
x-men,147
youtube,147
post apocalypse,147
magic realism,147
James Stewart,147
Hitchcock,147
farm,147
apocalyptic,147
AFI 100 (Laughs),147
Sad ending,146
Jeff Goldblum,146
Kristen Stewart,146
dying and death,146
concert,146
underwater,145
Robert Rodriguez,145
Professor,145
Malayalam,145
economics,145
Drew Barrymore,145
Daniel Day-Lewis,145
atheism,145
meta,144
exorcism,144
Benicio del Toro,144
unoriginal,143
ship,143
Michael Keaton,143
ghosts/afterlife,143
explosion,143
Bond,143
yakuza,142
math,142
Ingmar Bergman,142
good music,142
amazing photography,142
Alaska,142
Short Film,141
netflix streaming,141
giant robots,141
church,141
crazy,141
undercover,140
Marlon Brando,140
Humphrey Bogart,140
Jesse Eisenberg,140
cheating,140
confrontational,140
based on true story,140
Tilda Swinton,139
swashbuckler,139
sadism,139
punk,139
mutants,139
neighbor,139
cryptography,139
Book,139
AFI 100 (Thrills),139
American Civil War,139
whodunit,138
sarcasm,138
gun,138
Kevin Bacon,138
Emma Thompson,138
gory,138
gay romance,138
europe,138
adaptation,138
heroism,137
Ben Kingsley,137
bad writing,137
Sex Comedy,136
Peter Sellers,136
mutant,136
Jennifer Connelly,136
Irish,136
James McAvoy,136
fire,136
Good Romantic Comedies,136
castle,136
winter,135
Tokyo,135
painter,135
idealism,135
horror comedy,135
John Carpenter,135
cats,135
Adrien Brody,135
Robert Redford,134
home invasion,134
Cary Grant,134
70mm,134
weak ending,133
vigilantism,133
Sacha Baron Cohen,133
Luc Besson,133
genocide,133
Voodoo,132
Haunting,132
Guilt,132
gay relationship,132
ethics,132
civil rights,132
David Cronenberg,132
wall street,131
FORBIDDEN LOVE,131
boat,131
working class,130
psychiatrist,130
Disney animated feature,130
first love,130
coming out,130
workplace,129
mother daughter relationship,129
Mel Brooks,129
Jet Li,129
drug addiction,129
explosions,129
David Bowie,129
Captain America,129
Brazilian,129
Santa Claus,128
Old,128
LGBTQ+,128
no plot,128
Maggie Gyllenhaal,128
mental hospital,128
intimate,128
Christopher Lloyd,128
Darren Aronofsky,128
Nenhum viu,127
Daniel Radcliffe,127
coming-of-age,127
BGAB LRC,127
on the run,126
mountain climbing,126
heroine in tight suit,126
Hugo Weaving,126
Forest Whitaker,126
cheerleading,126
abortion,126
US President,125
terrorist,125
Rachel Weisz,125
paradox,125
outer space,125
fugitive,125
alternate universe,125
trial,124
Sweden,124
Steve Martin,124
stylized violence,124
poor plot,124
magnolia pictures,124
murder mystery,124
geeky,124
comedian,124
compassionate,124
wormhole,123
shallow,123
secret service,123
strong woman,123
pilot,123
predictable ending,123
opera,123
music business,123
growing up,123
innovative,123
court,123
terminal illness,122
visuals,122
super power,122
Oscar (Best Foreign Language Film),122
relativity,122
Paul Newman,122
moody,122
great story,122
imaginary friend,122
eroticism,122
flying,122
forceful,122
female lead,122
wry,121
Vince Vaughn,121
spy thriller,121
prequel,121
orphans,121
Religious,121
good story,121
family bonds,121
2D animation,121
unintentional comedy,120
Val Kilmer,120
social criticism,120
soviet union,120
space epic,120
Police Brutality,120
painting,120
islam,120
heavy-handed,120
gold,120
Gerard Butler,120
Caper,120
smuggling,119
stoner movie,119
police investigation,119
motivation,119
literary adaptation,119
musician,119
effects,119
Dwayne Johnson,119
frankenstein,119
female nudity,119
cyborg,119
based on TV series,119
Best of Rotten Tomatoes: All Time,119
BAr,119
thrilling,118
wheelchair,118
surfing,118
sociopath,118
Iraq War,118
husband-wife relationship,118
Hannibal Lecter,118
iraq,118
catastrophe,118
cocaine,118
Bruce Campbell,118
Dinosaur,118
car accident,118
Chris Pratt,118
bomb,118
Werner Herzog,117
tom hiddleston,117
pacing,117
Native Americans,117
man versus machine,117
medicine,117
Ian McKellen,117
exceptional acting,117
excellent acting,117
car crash,117
AFI 100 (Cheers),117
open ending,116
new love,116
Michael J. Fox,116
life & death,116
Gay Interest,116
corny,116
AFI 100 (Movie Quotes),116
Mads Mikkelsen,115
godzilla,115
government,115
chess,115
Antonio Banderas,115
affair,115
sea,114
passionate,114
muppets,114
Hunting,114
favorite,114
Golden Palm,114
costume drama,114
Buddhism,114
battle,114
B-movie,114
space program,113
patriotic,113
navy,113
Hawaii,113
dracula,113
Canadian,113
Business is the antagonist,113
based on manga,113
toshiro mifune,112
literate,112
Jim Jarmusch,112
great depression,112
drug dealer,112
blasphemous,112
awkward,112
tear jerker,111
stupid ending,111
mountain,111
minimalist,111
KAF,111
helicopter,111
foreign language,111
Cillian Murphy,111
author,111
wrongly accused,110
Sexism,110
prince,110
psychiatry,110
president,110
life,110
John Cleese,110
Kick-Butt Women,110
death penalty,110
bisexual,110
unexpected ending,109
unfunny,109
somber,109
sword and sorcery,109
Sam Raimi,109
newspaper,109
Nazi Germany,109
light,109
Mind bending,109
hacker,109
Jessica Alba,109
Edgar Wright,109
good science,109
American Football,109
100 Essential Female Performances,109
Tim Robbins,108
time,108
radio,108
love of one's life,108
masturbation,108
interview,108
illogical,108
father son relationship,108
downbeat,108
con men,108
alternate endings,108
unintentionally funny,107
Thor,107
Michael Moore,107
mask,107
Marx Brothers,107
guilty pleasure,107
disqualified,107
Direction,107
thoughtful sci-fi,106
witches,106
storm,106
secret agent,106
outlaw,106
mummy,106
Greece,106
hip hop,106
financial crisis,106
father,106
existential,106
bear,106
Beautiful Woman,106
The Avengers,105
virginity,105
Thailand,105
swimming pool,105
pirate,105
literature,105
mother,105
Michael Crichton,105
geeks,105
Gay Lead Character,105
Dynamic CGI Action,105
earnest,105
Elijah Wood,105
alone in the world,105
theft,104
jedi,104
evil,104
brother,104
brainwashing,104
based on video game,104
stock market,103
Jason Bateman,103
Francis Ford Coppola,103
Chris Hemsworth,103
Carrie Fisher,103
aardman,103
teens,102
shipwreck,102
Ron Perlman,102
telekinesis,102
Pierce Brosnan,102
Psychopathy,102
race,102
Michael Bay,102
Iceland,102
Jeremy Renner,102
ironic,102
ecology,102
fear,102
CLASS DIFFERENCES,102
car,102
Audrey Tautou,102
android,102
unrequited love,101
smoking,101
scifi cult,101
teleportation,101
nun,101
New Jersey,101
mobster,101
investigative journalism,101
Gene Wilder,101
gratuitous violence,101
unusual,100
solitude,100
Roman Empire,100
sword,100
Robert Downey Jr,100
Richard Gere,100
river,100
need to own,100
My movies,100
John Hughes,100
girl power,100
shooting,99
Satanism,99
Oliver Stone,99
illness,99
hell,99
jail,99
Ed Harris,99
brother-brother relationship,99
android(s)/cyborg(s),99
apartment,99
Tim Roth,98
waitress,98
sad but good,98
Sexist,98
secret society,98
symbolism,98
race issues,98
pre-code,98
jus+san,98
historical figure,98
Invasion,98
FILMMAKING,98
French Film,98
FIGHTING THE SYSTEM,98
computer,98
artsy,98
biting,98
silent movie,97
Simple,97
sisters,97
resistance,97
Javier Bardem,97
infection,97
immigration,97
gripping,97
Jason Segel,97
gods,97
good,97
character driven,97
crude,97
Ambition,97
bank,97
angel,97
Ashton Kutcher,97
wuxia,96
single father,96
pedophilia,96
mutation,96
Nick Frost,96
love triangles,96
austere,96
black hole,96
accident,96
Paul Thomas Anderson,95
puppets,95
loss,95
Mike Myers,95
Mark Hamill,95
humanity,95
falling in love,95
finance,95
Frances McDormand,95
Extreme Violence,95
Genetic engineering,95
Cop,95
African American,95
books,95
trilogy,94
twisted ending,94
wrestling,94
slackers,94
PG,94
Plot Recycling,94
oil,94
Marion Cotillard,94
mermaid,94
Louisiana,94
Hulk,94
kids and family,94
Jews,94
drug use,94
consumerism,94
cowboy,94
awesome soundtrack,94
water,93
terror,93
vikings,93
Seen 2017,93
Seen 2010,93
Paul Giamatti,93
new hollywood,93
MOLT_CRITICADA,93
grindhouse,93
fairy tales,93
episodic,93
fate,93
graphics,93
fish out of water,93
destiny,93
A24,93
Billy Bob Thornton,93
TV,92
Tobey Maguire,92
Takeshi Kitano,92
political satire,92
Oscar (Best Music - Original Score),92
poetic,92
house,92
golf,92
Censorship,92
based on true events,92
Anna Kendrick,92
Alan Turing,92
Vulgar,91
woods,91
Spanish Civil War,91
ROMCOM,91
philosophical issues,91
Notable Nudity,91
police officer,91
library of congress,91
Mickey Rourke,91
John Wayne,91
Halle Berry,91
formulaic,91
Christina Ricci,91
Chan-Wook Park,91
countryside,91
Camping,91
Casey Affleck,91
actress,91
xenophobia,90
Young Adult,90
school drama,90
Robert Zemeckis,90
melodrama,90
Jennifer Garner,90
East Germany,90
Don Cheadle,90
Cool,90
cave,90
allegory,90
antarctica,90
undead,89
very funny,89
turkey,89
wealth,89
toys,89
runaway,89
scenery,89
Renee Zellweger,89
prohibition,89
parenthood,89
motel,89
Law,89
misogyny,89
intelligent sci-fi,89
good action,89
evolution,89
crappy sequel,89
adult animation,89
animal,89
Venice,88
stripper,88
strong women,88
sister,88
superman,88
oscar,88
nihilism,88
Matthew Broderick,88
mercenary,88
Madrid,88
domestic violence,88
elves,88
coma,88
wizard,87
Sven's to see list,87
PG13,87
plot twists,87
Race against time,87
Poland,87
Mecha,87
Lovecraftian,87
Margot Robbie,87
Honor,87
Kiss,87
H.P. Lovecraft,87
group psychology,87
Jean-Claude Van Damme,87
Divx1,87
Catherine Zeta-Jones,87
child,87
Brendan Fraser,87
brilliant,87
bad sequel,87
boy,87
astronaut,87
book was better,87
"""found footage""",87
utopia,86
trippy,86
subway,86
punk rock,86
retro,86
Political Thriller,86
Nostalgia Critic,86
moral ambiguity,86
Mental Institution,86
narration,86
massacre,86
lust,86
heavy metal,86
Great Visuals,86
Helen Mirren,86
editing,86
deafness,86
Danny Boyle,86
Andrew Garfield,86
astronomy,86
Beatles,86
beer,86
break-up,86
tragic,85
wistful,85
stage magic,85
satan,85
Richard Linklater,85
rock,85
linguistics,85
Neil Patrick Harris,85
Jesus Christ,85
Gfei own it,85
disappearance,85
Cuba,85
Dan Aykroyd,85
art house,85
wasted potential,84
Takashi Miike,84
Steven Soderbergh,84
preachy,84
psychic,84
Oscar Winner: Best Picture,84
Passion,84
Queen,84
religious overtones,84
miami,84
J.J. Abrams,84
Gay Character,84
Fraternity,84
Fritz Lang,84
Detroit,84
arms dealer,84
wired 50 greatest soundtracks,83
Spider-Man,83
switching places,83
Pam's list,83
Rio de Janeiro,83
rags to riches,83
Myth,83
Guy Pearce,83
election,83
costumes,83
code breaking,83
celebrity,83
actor,83
abduction,83
Seen 2011,82
Oscar (Best Music - Original Song),82
Miyazaki,82
lone hero,82
lies,82
intrigue,82
Handycam,82
Hammer Horror,82
hard to watch,82
con artist,82
Denis Villeneuve,82
comics,82
creature,82
Ang Lee,82
birds,82
virgin,81
spacecraft,81
russian mafia,81
romania,81
scandal,81
silent,81
quest,81
maze,81
love affair,81
nonlinear timeline,81
not as good as the first,81
lavish,81
monkey,81
language,81
journey,81
Judi Dench,81
illusions,81
inheritance,81
gypsy,81
harsh,81
cabin,81
consciousness,81
conversation,81
Chinese,81
4th wall,81
agent,81
American,81
tivo18,80
unconventional,80
Saoirse Ronan,80
stupidity,80
quirky romantic,80
pop culture,80
psychological horror,80
